drug_name,condition
ASPIRIN,atrial fibrillation
ASPIRIN,duodenal ulcer
ASPIRIN,Fever
ASPIRIN,hypertension
ASPIRIN,peripheral arterial disease
ATENOLOL,angina pectoris
ATENOLOL,hypertension
ATENOLOL,myocardial infarction
ATOMOXETINE HYDROCHLORIDE,attention deficit hyperactivity disorder
ATORVASTATIN CALCIUM,Combined hyperlipidemia
ATORVASTATIN CALCIUM,Disorder of lipid metabolism
ATORVASTATIN CALCIUM,Hypercholesterolemia
ATORVASTATIN CALCIUM,polycystic ovary syndrome
ATORVASTATIN CALCIUM,prostate adenocarcinoma
ATORVASTATIN CALCIUM,pulmonary arterial hypertension
ATORVASTATIN CALCIUM,vascular disease
AXITINIB,neoplasm
AXITINIB,renal cell carcinoma
AZACITIDINE,acute myeloid leukemia
AZACITIDINE,myelodysplastic syndrome
AZATHIOPRINE,Myasthenia gravis
AZILSARTAN KAMEDOXOMIL,hypertension
BETAMETHASONE,atopic eczema
BEVACIZUMAB,age-related macular degeneration
BEVACIZUMAB,brain neoplasm
BEVACIZUMAB,breast carcinoma
BEVACIZUMAB,carcinoma
BEVACIZUMAB,colorectal adenocarcinoma
BEVACIZUMAB,diabetic retinopathy
BEVACIZUMAB,esophageal carcinoma
BEVACIZUMAB,glioblastoma multiforme
BEVACIZUMAB,non-small cell lung carcinoma
BEVACIZUMAB,pancreatic carcinoma
BEVACIZUMAB,pterygium
BEVACIZUMAB,renal cell carcinoma
BEXAROTENE,non-small cell lung carcinoma
BICALUTAMIDE,prostate adenocarcinoma
BLINATUMOMAB,acute lymphoblastic leukemia
BORTEZOMIB,leukemia
BORTEZOMIB,multiple myeloma
BORTEZOMIB,neoplasm
BOSENTAN,pulmonary arterial hypertension
BOSUTINIB,glioblastoma multiforme
BOSUTINIB,neoplasm
ONABOTULINUMTOXINA,cerebral palsy
ONABOTULINUMTOXINA,obesity
BRENTUXIMAB VEDOTIN,Hodgkins lymphoma
BUDESONIDE,allergic rhinitis
BUDESONIDE,chronic obstructive pulmonary disease
BUDESONIDE,ulcerative colitis
BUMETANIDE,congestive heart failure
BUMETANIDE,kidney disease
BUMETANIDE,nephrotic syndrome
BUPIVACAINE,hypotension
BUPIVACAINE HYDROCHLORIDE,Inguinal hernia
BUPIVACAINE HYDROCHLORIDE,pain
BUPIVACAINE,pain
BUPRENORPHINE,heroin dependence
BUPRENORPHINE HYDROCHLORIDE,opioid dependence
BUPRENORPHINE,pain
BUPROPION HYDROCHLORIDE,nicotine dependence
BUPROPION HYDROCHLORIDE,smoking cessation
BUPROPION HYDROCHLORIDE,unipolar depression
CABAZITAXEL,dedifferentiated liposarcoma
CABAZITAXEL,neoplasm
CABAZITAXEL,prostate carcinoma
CABAZITAXEL,small cell lung carcinoma
CALCIPOTRIENE,psoriasis
CALCITRIOL,basal cell carcinoma
CALCITRIOL,non-small cell lung carcinoma
CALCITRIOL,psoriasis
CANAKINUMAB,juvenile idiopathic arthritis
CANDESARTAN CILEXETIL,hypertension
CAPECITABINE,breast carcinoma
CAPECITABINE,colorectal adenocarcinoma
CAPECITABINE,esophageal carcinoma
CAPECITABINE,gastric carcinoma
CAPECITABINE,neoplasm
CAPECITABINE,pancreatic carcinoma
CAPECITABINE,squamous cell carcinoma
CAPECITABINE,stomach neoplasm
CAPTOPRIL,congestive heart failure
CAPTOPRIL,heart disease
CAPTOPRIL,hypertension
CAPTOPRIL,myocardial infarction
CARBAMAZEPINE,epilepsy
CARBAMAZEPINE,partial epilepsy
CARFILZOMIB,acute lymphoblastic leukemia
CARFILZOMIB,multiple myeloma
CARMUSTINE,astrocytoma
CARMUSTINE,brain neoplasm
CARVEDILOL,heart failure
CARVEDILOL PHOSPHATE,hypertension
CARVEDILOL,hypertension
CARVEDILOL,pulmonary arterial hypertension
CELECOXIB,ankylosing spondylitis
CELECOXIB,breast carcinoma
CELECOXIB,juvenile idiopathic arthritis
CELECOXIB,"osteoarthritis, knee"
CELECOXIB,pain
CELECOXIB,rheumatoid arthritis
CERTOLIZUMAB PEGOL,rheumatoid arthritis
CETIRIZINE HYDROCHLORIDE,allergic rhinitis
CETUXIMAB,colorectal adenocarcinoma
CETUXIMAB,gastric adenocarcinoma
CETUXIMAB,head and neck squamous cell carcinoma
CETUXIMAB,neoplasm
CETUXIMAB,non-small cell lung carcinoma
CETUXIMAB,squamous cell carcinoma
CETUXIMAB,upper aerodigestive tract neoplasm
CHENODIOL,irritable bowel syndrome
CHLOROTHIAZIDE,hypertension
CHLOROTHIAZIDE,nephrotic syndrome
CHLORPROMAZINE,psychosis
CHLORTHALIDONE,hypertension
CHOLECALCIFEROL,heart failure
CHOLECALCIFEROL,hepatitis C virus infection
CHOLECALCIFEROL,tibia fracture
CILOSTAZOL,intermittent vascular claudication
CIMETIDINE,gastroesophageal reflux disease
CITALOPRAM HYDROBROMIDE,unipolar depression
CLEVIDIPINE,hypertension
CLOBAZAM,anxiety
CLOBETASOL PROPIONATE,psoriasis
CLOFARABINE,leukemia
CLOFARABINE,myelodysplastic syndrome
CLONIDINE,attention deficit hyperactivity disorder
CLONIDINE,hypertension
CLONIDINE,pain
CLOPIDOGREL BISULFATE,acute coronary syndrome
CLOPIDOGREL BISULFATE,myocardial infarction
CLOPIDOGREL BISULFATE,peripheral arterial disease
CODEINE PHOSPHATE,pain
CODEINE SULFATE,pain
COLCHICINE,aphthous ulcer
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,contracture
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,Skin ulcer
CONIVAPTAN HYDROCHLORIDE,Hyponatremia
CORTICOTROPIN,rheumatoid arthritis
CORTISONE ACETATE,eye inflammation
CRIZOTINIB,glioblastoma multiforme
CRIZOTINIB,non-small cell lung carcinoma
CYCLOSPORINE,atopic eczema
CYCLOSPORINE,hepatitis C virus infection
CYCLOSPORINE,lymphoma
CYCLOSPORINE,Aplastic anemia
CYCLOSPORINE,pterygium
CYTARABINE,acute lymphoblastic leukemia
CYTARABINE,acute myeloid leukemia
DABIGATRAN ETEXILATE MESYLATE,atrial fibrillation
DACLIZUMAB,psoriasis
DALTEPARIN SODIUM,stroke
DARBEPOETIN ALFA,anemia (phenotype)
DARBEPOETIN ALFA,diffuse large B-cell lymphoma
DARBEPOETIN ALFA,myelodysplastic syndrome
DASATINIB,chronic lymphocytic leukemia
DASATINIB,leukemia
DASATINIB,multiple myeloma
DASATINIB,non-Hodgkins lymphoma
DASATINIB,non-small cell lung carcinoma
DASATINIB,pancreatic carcinoma
DASATINIB,squamous cell lung carcinoma
DECITABINE,acute myeloid leukemia
DECITABINE,myelodysplastic syndrome
DENOSUMAB,aortic stenosis
DENOSUMAB,breast carcinoma
DENOSUMAB,osteoporosis
DENOSUMAB,postmenopausal osteoporosis
DESFLURANE,post-operative sign or symptom
DESLORATADINE,allergic rhinitis
DESLORATADINE,urticaria
DESVENLAFAXINE,unipolar depression
DEXAMETHASONE,eye inflammation
DEXAMETHASONE,multiple myeloma
DEXAMETHASONE,pain
DEXAMETHASONE,prostate carcinoma
DEXTROAMPHETAMINE SULFATE,attention deficit hyperactivity disorder
DEXTROAMPHETAMINE SACCHARATE,attention deficit hyperactivity disorder
DICLOFENAC SODIUM,actinic keratosis
DICLOFENAC,eye inflammation
DICLOFENAC SODIUM,muscular disease
DICLOFENAC,"osteoarthritis, knee"
DICLOFENAC SODIUM,pain
DICLOFENAC POTASSIUM,pain
DIPYRIDAMOLE,rheumatoid arthritis
DOCETAXEL,breast carcinoma
DOCETAXEL,carcinoma
DOCETAXEL,gastric carcinoma
DOCETAXEL,nasopharyngeal neoplasm
DOCETAXEL,neoplasm
DOCETAXEL,non-small cell lung carcinoma
DOCETAXEL,prostate adenocarcinoma
DOCETAXEL,prostate carcinoma
DOCETAXEL,squamous cell lung carcinoma
DOCETAXEL,upper aerodigestive tract neoplasm
DOXERCALCIFEROL,psoriasis
DOXORUBICIN HYDROCHLORIDE,breast carcinoma
DOXORUBICIN HYDROCHLORIDE,lymphoma
DOXORUBICIN HYDROCHLORIDE,sarcoma
DUTASTERIDE,prostate carcinoma
ECULIZUMAB,anti-neutrophil antibody associated vasculitis
EFALIZUMAB,psoriasis
ELUXADOLINE,irritable bowel syndrome
ENALAPRIL MALEATE,hypertension
ENOXAPARIN SODIUM,venous thromboembolism
ENZALUTAMIDE,prostate adenocarcinoma
EPLERENONE,cardiomyopathy
EPLERENONE,chronic kidney disease
EPLERENONE,diabetic nephropathy
EPLERENONE,heart failure
EPLERENONE,hypertension
EPOETIN ALFA,anemia (phenotype)
EPOETIN ALFA,chronic kidney disease
EPOETIN ALFA,myocardial infarction
ERIBULIN MESYLATE,breast carcinoma
ERIBULIN MESYLATE,neoplasm
ERLOTINIB HYDROCHLORIDE,breast carcinoma
ERLOTINIB HYDROCHLORIDE,head and neck squamous cell carcinoma
ERLOTINIB HYDROCHLORIDE,non-small cell lung carcinoma
ESLICARBAZEPINE ACETATE,epilepsy
ESLICARBAZEPINE ACETATE,partial epilepsy
ESOMEPRAZOLE MAGNESIUM,gastroesophageal reflux disease
ESTRADIOL,breast carcinoma
ESTRADIOL,menopause
ESTRADIOL VALERATE,infertility
"ESTROGENS, CONJUGATED",prostate carcinoma
ESZOPICLONE,insomnia
ETANERCEPT,acute graft vs. host disease
ETANERCEPT,ankylosing spondylitis
ETANERCEPT,juvenile idiopathic arthritis
ETANERCEPT,dermatomyositis
ETANERCEPT,psoriasis
ETANERCEPT,rheumatoid arthritis
ETHOSUXIMIDE,epilepsy
ETODOLAC,rheumatic disease
ETOMIDATE,hypertension
ETONOGESTREL,benign prostatic hyperplasia
ETOPOSIDE,acute lymphoblastic leukemia
ETOPOSIDE PHOSPHATE,lymphoma
EVEROLIMUS,acute coronary syndrome
EVEROLIMUS,adenoid cystic carcinoma
EVEROLIMUS,breast carcinoma
EVEROLIMUS,renal cell carcinoma
EVEROLIMUS,colorectal adenocarcinoma
EVEROLIMUS,mesothelioma
EVEROLIMUS,neoplasm
EVEROLIMUS,non-small cell lung carcinoma
EVEROLIMUS,sarcoma
EVEROLIMUS,small cell lung carcinoma
EXEMESTANE,breast carcinoma
EXENATIDE,diabetes mellitus
EXENATIDE,myocardial infarction
EXENATIDE,obesity
EZETIMIBE,Hypercholesterolemia
FAMOTIDINE,movement disorder
FAMOTIDINE,Peptic ulcer
FEBUXOSTAT,gout
FENOFIBRATE,cardiovascular disease
FENOFIBRATE,metabolic syndrome
FENTANYL CITRATE,pain
FENTANYL,pain
FINASTERIDE,non-small cell lung carcinoma
FINASTERIDE,prostate carcinoma
FLUMAZENIL,insomnia
FLUOROURACIL,colorectal adenocarcinoma
FLURBIPROFEN,eye inflammation
FLUTICASONE PROPIONATE,chronic obstructive pulmonary disease
FLUTICASONE PROPIONATE,eosinophilic esophagitis
FONDAPARINUX SODIUM,venous thromboembolism
FONDAPARINUX SODIUM,Venous thrombosis
FULVESTRANT,breast carcinoma
FUROSEMIDE,congestive heart failure
FUROSEMIDE,lung disease
FUROSEMIDE,pulmonary embolism
GABAPENTIN,insomnia
GABAPENTIN,pain
GABAPENTIN ENACARBIL,restless legs syndrome
GEFITINIB,non-small cell lung carcinoma
GEFITINIB,upper aerodigestive tract neoplasm
GEMCITABINE HYDROCHLORIDE,neoplasm
GEMCITABINE HYDROCHLORIDE,non-small cell lung carcinoma
GEMCITABINE HYDROCHLORIDE,pancreatic carcinoma
GLIPIZIDE,diabetes mellitus
GLYCOPYRROLATE,chronic obstructive pulmonary disease
GONADORELIN ACETATE,infertility
GOSERELIN ACETATE,breast carcinoma
GOSERELIN ACETATE,prostate carcinoma
GRANISETRON,Chemotherapy-induced nausea and vomiting
GUANFACINE HYDROCHLORIDE,attention deficit hyperactivity disorder
HALOPERIDOL,psychosis
FOLLITROPIN BETA,infertility
ALDESLEUKIN,leukemia
ALDESLEUKIN,metastatic melanoma
HYDROCHLOROTHIAZIDE,hypertension
HYDROCODONE BITARTRATE,pain
HYDROFLUMETHIAZIDE,cardiovascular disease
HYDROXYPROGESTERONE CAPROATE,premature birth
HYDROXYUREA,leukemia
HYDROXYUREA,melanoma
IBRUTINIB,liver disease
IBRUTINIB,neoplasm
IBUPROFEN,Fever
IBUPROFEN,Myalgia
IBUPROFEN,pain
ILOPROST,pulmonary arterial hypertension
IMATINIB MESYLATE,chronic myelogenous leukemia
IMATINIB MESYLATE,plexiform neurofibroma
IMATINIB MESYLATE,polycythemia vera
IMATINIB MESYLATE,pulmonary arterial hypertension
IMIQUIMOD,actinic keratosis
IMIQUIMOD,basal cell carcinoma
INCOBOTULINUMTOXINA,pain
INDACATEROL MALEATE,chronic obstructive pulmonary disease
INDAPAMIDE,hypertension
INDOMETHACIN,pancreatitis
INDOMETHACIN,premature birth
INFLIXIMAB,ankylosing spondylitis
INFLIXIMAB,Crohn's disease
INFLIXIMAB,endometriosis
INFLIXIMAB,psoriasis
INFLIXIMAB,rheumatoid arthritis
INFLIXIMAB,ulcerative colitis
INSULIN HUMAN,diabetes mellitus
INSULIN HUMAN,Hyperglycemia
INTERFERON ALFA-2B,hepatitis C virus infection
INTERFERON ALFA-2B,neoplasm
IPILIMUMAB,carcinoma
IPILIMUMAB,melanoma
IPILIMUMAB,prostate carcinoma
IPRATROPIUM BROMIDE,chronic obstructive pulmonary disease
IRBESARTAN,atrial fibrillation
IRBESARTAN,hypertension
IXABEPILONE,breast carcinoma
KETOPROFEN,Myalgia
KETOROLAC TROMETHAMINE,pain
LAMOTRIGINE,epilepsy
LAMOTRIGINE,Fish-eye disease
LANSOPRAZOLE,gastroesophageal reflux disease
LAPATINIB DITOSYLATE,breast carcinoma
LENVATINIB MESYLATE,metastatic melanoma
LETROZOLE,breast carcinoma
LETROZOLE,infertility
LEUPROLIDE ACETATE,prostate carcinoma
LEVOCETIRIZINE DIHYDROCHLORIDE,Fish-eye disease
LEVOCETIRIZINE DIHYDROCHLORIDE,seasonal allergic rhinitis
LEVOTHYROXINE SODIUM,hypothyroidism
LIDOCAINE,"osteoarthritis, knee"
LIDOCAINE,pain
LIDOCAINE,peripheral neuropathy
LINACLOTIDE,irritable bowel syndrome
LIRAGLUTIDE,abnormal glucose tolerance
LIRAGLUTIDE,diabetes mellitus
LISDEXAMFETAMINE DIMESYLATE,attention deficit hyperactivity disorder
LISINOPRIL,hypertension
LORAZEPAM,anxiety
LORCASERIN HYDROCHLORIDE,obesity
LOSARTAN POTASSIUM,hypertension
LOVASTATIN,chronic obstructive pulmonary disease
LUBIPROSTONE,irritable bowel syndrome
MACITENTAN,pulmonary arterial hypertension
MARAVIROC,HIV infection
MARAVIROC,HIV-1 infection
MEGESTROL ACETATE,chronic obstructive pulmonary disease
MENOTROPINS,infertility
MERCAPTOPURINE,Crohn's disease
MESALAMINE,colitis
MESALAMINE,Crohn's disease
MESALAMINE,proctitis
MESALAMINE,ulcerative colitis
METFORMIN HYDROCHLORIDE,diabetes mellitus
METFORMIN HYDROCHLORIDE,obesity
METHOTREXATE,Crohn's disease
METHOTREXATE,rheumatoid arthritis
METHOTREXATE,ulcerative colitis
METHYLNALTREXONE BROMIDE,Constipation
METHYLPHENIDATE,attention deficit hyperactivity disorder
METHYLPHENIDATE HYDROCHLORIDE,attention deficit hyperactivity disorder
METHYLPREDNISOLONE,relapsing-remitting multiple sclerosis
METOPROLOL SUCCINATE,hypertension
MIFEPRISTONE,cocaine dependence
MILNACIPRAN HYDROCHLORIDE,fibromyalgia
MINOXIDIL,androgenetic alopecia
MIRABEGRON,heart failure
MIRTAZAPINE,unipolar depression
MISOPROSTOL,hemorrhage
MODAFINIL,attention deficit hyperactivity disorder
MODAFINIL,cocaine dependence
MODAFINIL,methamphetamine dependence
MOMETASONE FUROATE,allergic rhinitis
MOMETASONE FUROATE,hypertrophy
MOMETASONE FUROATE,Airway obstruction
MOMETASONE FUROATE,seasonal allergic rhinitis
MONTELUKAST SODIUM,eosinophilic esophagitis
MORPHINE SULFATE,neonatal abstinence syndrome
MORPHINE SULFATE,pain
NALOXONE HYDROCHLORIDE,opioid dependence
NALTREXONE,gambling behaviour
NALTREXONE,opioid dependence
NAPROXEN,pain
NAPROXEN SODIUM,pain
NAPROXEN SODIUM,rheumatoid arthritis
NATALIZUMAB,relapsing-remitting multiple sclerosis
NICARDIPINE HYDROCHLORIDE,hypertension
NICOTINE POLACRILEX,nicotine dependence
NICOTINE,nicotine dependence
NICOTINE,smoking cessation
NIFEDIPINE,premature birth
NIMODIPINE,infertility
NITRIC OXIDE,congestive heart failure
NITRIC OXIDE,cutaneous Leishmaniasis
NITROGLYCERIN,pain
NITROGLYCERIN,stroke
SODIUM NITROPRUSSIDE,hypertension
OBINUTUZUMAB,chronic lymphocytic leukemia
OCRIPLASMIN,stroke
OCTREOTIDE ACETATE,diabetic retinopathy
OFATUMUMAB,chronic lymphocytic leukemia
OFATUMUMAB,lymphoma
OLANZAPINE,eating disorder
OLMESARTAN MEDOXOMIL,hypertension
OLODATEROL HYDROCHLORIDE,chronic obstructive pulmonary disease
OMALIZUMAB,urticaria
OMEPRAZOLE,erectile dysfunction
OMEPRAZOLE,gastroesophageal reflux disease
ONDANSETRON,Fish-eye disease
ONDANSETRON,Nausea
ONDANSETRON,obsessive-compulsive disorder
ONDANSETRON HYDROCHLORIDE,post operative nausea and vomiting
ONDANSETRON,post operative nausea and vomiting
ORLISTAT,polycystic ovary syndrome
OXAZEPAM,anxiety
OXCARBAZEPINE,epilepsy
OXCARBAZEPINE,Seizure
SODIUM OXYBATE,eating disorder
SODIUM OXYBATE,fibromyalgia
OXYCODONE HYDROCHLORIDE,pain
OXYMORPHONE HYDROCHLORIDE,pain
OXYPHENBUTAZONE,rheumatic disease
OXYTOCIN,autism spectrum disorder
OXYTOCIN,hemorrhage
OXYTOCIN,preeclampsia
PACLITAXEL,breast carcinoma
PACLITAXEL,gastric adenocarcinoma
PACLITAXEL,gastric carcinoma
PACLITAXEL,melanoma
PACLITAXEL,metastatic melanoma
PACLITAXEL,non-small cell lung carcinoma
PANITUMUMAB,colorectal adenocarcinoma
PANTOPRAZOLE SODIUM,gastroesophageal reflux disease
PARATHYROID HORMONE,osteoporosis
PAZOPANIB HYDROCHLORIDE,sarcoma
PEGINTERFERON ALFA-2A,chronic hepatitis B virus infection
PEGINTERFERON ALFA-2A,chronic hepatitis C virus infection
PEGINTERFERON ALFA-2A,hepatitis C virus infection
PEGINTERFERON ALFA-2A,HIV infection
PEGINTERFERON ALFA-2B,chronic hepatitis B virus infection
PEGINTERFERON ALFA-2B,chronic hepatitis C virus infection
PENTOXIFYLLINE,chronic kidney disease
PERAMPANEL,epilepsy
PERAMPANEL,Seizure
PHENTERMINE,obesity
PHENTERMINE HYDROCHLORIDE,obesity
PHENYTOIN,epilepsy
PIMECROLIMUS,atopic eczema
PIOGLITAZONE HYDROCHLORIDE,non-alcoholic fatty liver disease
PIROXICAM,"osteoarthritis, knee"
PLERIXAFOR,acute graft vs. host disease
PREDNISOLONE,eye inflammation
PREDNISOLONE,Nasal congestion
PREDNISOLONE,nephrotic syndrome
PREDNISOLONE,rheumatoid arthritis
PREDNISONE,Nasal Cavity Polyp
PREDNISONE,pulmonary sarcoidosis
PREDNISONE,rheumatoid arthritis
PREDNISONE,Sciatica
PREDNISONE,Granulomatosis with Polyangiitis
PREGABALIN,fibromyalgia
PREGABALIN,neuropathy
PREGABALIN,pain
PREGABALIN,partial epilepsy
PREGABALIN,restless legs syndrome
PREGABALIN,Seizure
PROGESTERONE,infertility
PROGESTERONE,premature birth
PROPOFOL,leukemia
RABEPRAZOLE SODIUM,gastroesophageal reflux disease
RAMELTEON,insomnia
RAMIPRIL,atrial fibrillation
RAMIPRIL,chronic kidney disease
RAMIPRIL,hypertension
RAMUCIRUMAB,non-small cell lung carcinoma
RANIBIZUMAB,age-related macular degeneration
RANIBIZUMAB,diabetic retinopathy
RANIBIZUMAB,retinopathy
RANITIDINE BISMUTH CITRATE,Peptic ulcer
RANOLAZINE,dilated cardiomyopathy
RAUWOLFIA SERPENTINA,hypertension
REGORAFENIB,colorectal adenocarcinoma
RIBAVIRIN,acute myeloid leukemia
RIBAVIRIN,chronic hepatitis C virus infection
RIBAVIRIN,hepatitis C virus infection
RILONACEPT,gout
RILUZOLE,post-traumatic stress disorder
RISEDRONATE SODIUM,osteoporosis
RISPERIDONE,psychosis
RITUXIMAB,acute graft vs. host disease
RITUXIMAB,chronic fatigue syndrome
RITUXIMAB,Hodgkins lymphoma
RITUXIMAB,lymphoma
RITUXIMAB,membranous glomerulonephritis
RITUXIMAB,neoplasm of mature B-cells
RITUXIMAB,non-Hodgkins lymphoma
RITUXIMAB,rheumatoid arthritis
RITUXIMAB,systemic scleroderma
RIVAROXABAN,atrial fibrillation
RIVAROXABAN,Venous thrombosis
ROFLUMILAST,Bronchiectasis
ROFLUMILAST,chronic obstructive pulmonary disease
ROFLUMILAST,non-alcoholic fatty liver disease
ROMIPLOSTIM,hemorrhage
ROSIGLITAZONE MALEATE,HIV infection
ROSUVASTATIN CALCIUM,Disorder of lipid metabolism
ROSUVASTATIN CALCIUM,Hypercholesterolemia
ROTIGOTINE,fibromyalgia
RUFINAMIDE,Seizure
SALMETEROL XINAFOATE,chronic obstructive pulmonary disease
SARGRAMOSTIM,Crohn's disease
SECRETIN,chronic pancreatitis
SELEGILINE,nicotine dependence
SEVOFLURANE,obesity
SILDENAFIL CITRATE,age-related macular degeneration
SILDENAFIL CITRATE,erectile dysfunction
SILDENAFIL CITRATE,stroke
SILODOSIN,benign prostatic hyperplasia
SILTUXIMAB,immune system disease
SIMVASTATIN,chronic obstructive pulmonary disease
SIMVASTATIN,Disorder of lipid metabolism
SIMVASTATIN,Hypercholesterolemia
SIROLIMUS,acute lymphoblastic leukemia
SIROLIMUS,kidney disease
SITAGLIPTIN PHOSPHATE,diabetes mellitus
SOMATROPIN,fetal growth restriction
SORAFENIB TOSYLATE,hepatocellular carcinoma
SORAFENIB TOSYLATE,neoplasm
SORAFENIB TOSYLATE,small cell lung carcinoma
SPIRONOLACTONE,chronic kidney disease
SPIRONOLACTONE,heart failure
SPIRONOLACTONE,hypertension
SUNITINIB MALATE,non-small cell lung carcinoma
SUNITINIB MALATE,renal cell carcinoma
SUVOREXANT,insomnia
TADALAFIL,benign prostatic hyperplasia
TADALAFIL,erectile dysfunction
TAMOXIFEN CITRATE,breast carcinoma
TAMOXIFEN CITRATE,male breast carcinoma
TAMSULOSIN HYDROCHLORIDE,benign prostatic hyperplasia
TAPENTADOL HYDROCHLORIDE,pain
TAZAROTENE,acne
TAZAROTENE,psoriasis
TELMISARTAN,hypertension
TEMSIROLIMUS,lymphoma
TEMSIROLIMUS,myelodysplastic syndrome
TEMSIROLIMUS,renal cell carcinoma
TEMSIROLIMUS,rheumatoid arthritis
TERIPARATIDE,bone fracture
TERIPARATIDE,osteoporosis
TERIPARATIDE,postmenopausal osteoporosis
TESTOSTERONE,heart failure
TESTOSTERONE,prostate carcinoma
TESTOSTERONE UNDECANOATE,sexual dysfunction
THEOPHYLLINE,chronic obstructive pulmonary disease
THEOPHYLLINE,Airway obstruction
AMINOPHYLLINE,Airway obstruction
THIOGUANINE,non-Hodgkins lymphoma
THIORIDAZINE,psychosis
THYROTROPIN ALFA,thyroid carcinoma
TICAGRELOR,acute coronary syndrome
TICAGRELOR,myocardial infarction
TINZAPARIN SODIUM,colorectal adenocarcinoma
TIOTROPIUM BROMIDE,chronic obstructive pulmonary disease
TOCILIZUMAB,juvenile idiopathic arthritis
TOCILIZUMAB,rheumatoid arthritis
TOCILIZUMAB,systemic scleroderma
TOFACITINIB CITRATE,rheumatoid arthritis
TOLCAPONE,nicotine dependence
TOLVAPTAN,carcinoma
TOPIRAMATE,cocaine dependence
TOPIRAMATE,epilepsy
TOPOTECAN HYDROCHLORIDE,leukemia
TRAMADOL HYDROCHLORIDE,pain
TRANEXAMIC ACID,hemorrhage
TRANEXAMIC ACID,hip fracture
TRASTUZUMAB,adenocarcinoma
TRASTUZUMAB,breast carcinoma
TRASTUZUMAB,carcinoma
TRASTUZUMAB EMTANSINE,breast carcinoma
TREPROSTINIL,ischemia reperfusion injury
TREPROSTINIL,pulmonary arterial hypertension
TRIAMCINOLONE,Airway obstruction
TRIAMCINOLONE ACETONIDE,diabetic retinopathy
TRIPTORELIN PAMOATE,prostate carcinoma
UMECLIDINIUM BROMIDE,chronic obstructive pulmonary disease
USTEKINUMAB,ankylosing spondylitis
USTEKINUMAB,atopic eczema
USTEKINUMAB,psoriasis
VALDECOXIB,pain
VALPROATE SODIUM,epilepsy
VALPROIC ACID,epilepsy
VALPROIC ACID,pancreatic carcinoma
DIVALPROEX SODIUM,Seizure
VALSARTAN,congestive heart failure
VALSARTAN,heart failure
VALSARTAN,hypertension
VANDETANIB,mesothelioma
VARENICLINE TARTRATE,nicotine dependence
VARENICLINE TARTRATE,smoking cessation
VASOPRESSIN,septic shock
VEDOLIZUMAB,Crohn's disease
VEMURAFENIB,melanoma
VENLAFAXINE HYDROCHLORIDE,unipolar depression
VIGABATRIN,cocaine dependence
VILANTEROL TRIFENATATE,chronic obstructive pulmonary disease
VINCRISTINE SULFATE,acute lymphoblastic leukemia
VISMODEGIB,basal cell carcinoma
VISMODEGIB,medulloblastoma
VISMODEGIB,neoplasm
VORINOSTAT,HIV infection
VORINOSTAT,multiple myeloma
VORINOSTAT,non-small cell lung carcinoma
WARFARIN SODIUM,atrial fibrillation
WARFARIN POTASSIUM,atrial fibrillation
ZILEUTON,nicotine dependence
ZOLEDRONIC ACID,adenocarcinoma
